specie,colore,n_arti,peso,altezza,larghezza
Robby,rosso,28.0,3.49,16.72,108.28
Robby,viola,29.0,3.03,13.93,82.31
Robby,blu,24.0,3.4,21.7,72.58
Robby,viola,27.0,3.62,7.22,81.59
Robby,rosso,23.0,4.39,15.64,61.71
Robby,viola,22.0,3.59,11.84,80.95
Robby,rosso,27.0,3.21,17.65,75.24
Robby,viola,22.0,3.99,15.21,86.81
Robby,viola,21.0,3.93,25.72,99.91
Robby,blu,22.0,3.39,17.07,115.22
Robby,blu,24.0,3.65,14.74,80.95
Robby,viola,26.0,3.88,19.58,93.71
Robby,viola,21.0,4.2,12.25,83.05
Robby,blu,23.0,3.52,14.49,98.59
Robby,blu,23.0,2.77,14.89,79.04
Robby,blu,26.0,3.69,22.88,90.57
Robby,viola,26.0,2.73,12.03,106.64
Robby,viola,28.0,2.9,16.52,84.3
Robby,blu,21.0,4.15,14.47,76.98
Robby,viola,26.0,4.43,17.29,85.55
Robby,blu,25.0,3.91,22.99,112.48
Robby,rosso,24.0,3.28,22.29,92.93
Robby,rosso,27.0,3.73,18.24,92.91
Robby,rosso,25.0,3.32,17.17,77.15
Robby,blu,22.0,3.13,11.08,85.22
Robby,blu,28.0,3.88,18.56,68.33
Robby,rosso,22.0,3.82,21.93,59.98
Robby,blu,23.0,2.9,18.79,100.11
Robby,blu,26.0,3.28,21.5,83.37
Robby,blu,20.0,4.2,15.66,100.45
Robby,viola,29.0,2.77,13.05,65.81
Robby,blu,22.0,3.69,18.67,95.02
Robby,blu,29.0,3.68,24.06,69.28
Robby,viola,29.0,4.12,13.51,87.96
Robby,viola,22.0,3.63,21.36,97.45
Robby,rosso,29.0,2.99,12.5,81.89
Robby,blu,26.0,2.79,14.58,98.22
Robby,viola,25.0,3.87,13.96,92.5
Robby,viola,23.0,3.73,25.56,91.76
Robby,blu,26.0,3.66,19.96,102.94
Robby,viola,21.0,3.79,14.94,86.81
Robby,viola,28.0,3.69,15.11,101.67
Robby,viola,23.0,3.29,17.21,86.74
Robby,rosso,26.0,3.77,18.96,72.31
Robby,viola,21.0,3.88,19.34,84.41
Robby,blu,25.0,3.46,22.47,82.88
Robby,viola,28.0,3.63,17.15,75.95
Robby,blu,24.0,3.14,16.0,70.8
Robby,blu,29.0,3.12,11.53,91.69
Robby,blu,26.0,2.85,20.72,95.07
Robby,rosso,25.0,4.37,11.6,96.72
Robby,blu,21.0,3.79,12.07,88.74
Robby,blu,27.0,3.23,18.9,86.02
Robby,,23.0,3.83,19.49,94.4
Robby,viola,24.0,3.22,24.43,91.29
Robby,rosso,20.0,2.5,20.26,88.99
Robby,viola,28.0,3.46,14.15,86.3
Robby,blu,25.0,4.21,18.28,73.25
Robby,rosso,20.0,3.53,14.12,84.09
Robby,blu,23.0,3.44,19.17,72.55
Robby,blu,21.0,3.62,24.75,87.51
Robby,rosso,22.0,3.02,20.5,87.54
Robby,viola,29.0,3.1,9.22,77.24
Robby,blu,20.0,3.78,19.25,56.02
Robby,viola,29.0,3.28,16.86,77.66
Robby,viola,28.0,3.71,13.67,96.06
Robby,blu,21.0,4.67,18.09,87.1
Robby,viola,25.0,4.03,15.34,100.66
Robby,viola,22.0,3.64,16.54,90.76
Robby,rosso,25.0,2.63,17.26,82.54
Robby,rosso,20.0,3.27,23.31,84.92
Robby,viola,20.0,2.96,11.61,91.77
Robby,blu,29.0,3.86,17.81,84.7
Robby,viola,21.0,4.4,21.81,86.05
Robby,viola,20.0,4.31,7.73,79.59
Robby,viola,27.0,3.78,13.11,101.83
Robby,viola,20.0,4.28,23.4,90.48
Robby,blu,26.0,3.3,5.77,81.28
Robby,blu,24.0,3.48,10.68,56.82
Robby,viola,28.0,3.71,18.82,72.6
Robby,rosso,22.0,3.08,13.76,74.22
Robby,rosso,26.0,3.49,19.84,69.22
Robby,blu,26.0,3.5,21.12,87.55
Robby,blu,20.0,3.47,16.43,86.3
Robby,viola,29.0,4.12,17.27,78.81
Robby,viola,24.0,2.75,11.81,86.18
Robby,blu,21.0,3.39,14.51,89.22
Robby,rosso,28.0,3.08,12.67,79.14
Robby,viola,26.0,4.0,19.21,93.09
Robby,rosso,29.0,3.72,11.46,89.26
Robby,rosso,23.0,2.96,15.45,74.66
Robby,rosso,22.0,3.42,14.26,76.05
Robby,viola,22.0,3.41,15.18,78.36
Robby,viola,21.0,4.07,13.77,72.01
Robby,,22.0,3.7,22.31,76.97
Robby,viola,25.0,3.98,12.82,84.12
Robby,blu,27.0,3.47,22.98,82.68
Robby,blu,26.0,4.03,23.63,80.71
Robby,rosso,22.0,3.67,16.89,85.77
Robby,rosso,22.0,3.61,22.56,98.13
Robby,blu,26.0,3.06,8.53,70.77
Robby,blu,29.0,3.76,23.6,79.39
Robby,blu,21.0,3.98,20.22,70.36
Robby,viola,24.0,3.48,20.61,75.72
Robby,viola,22.0,2.78,15.69,93.02
Robby,rosso,21.0,3.16,14.46,87.19
Robby,rosso,29.0,4.26,22.97,61.08
Robby,rosso,21.0,3.8,17.16,105.61
Robby,rosso,29.0,3.21,21.17,76.62
Robby,rosso,24.0,2.96,10.86,91.57
Robby,viola,25.0,2.65,20.82,77.89
Robby,blu,26.0,2.64,15.86,85.07
Robby,blu,22.0,3.22,23.31,95.79
Robby,rosso,29.0,2.77,14.42,74.52
Robby,rosso,29.0,3.91,15.86,96.71
Robby,blu,27.0,3.18,21.14,95.93
Robby,rosso,20.0,3.34,10.02,72.6
Robby,rosso,24.0,3.49,18.47,62.53
Robby,blu,22.0,3.74,18.97,81.38
Robby,viola,23.0,4.08,8.74,87.48
Robby,blu,23.0,3.22,19.22,89.16
Robby,blu,28.0,3.8,26.45,105.62
Robby,viola,20.0,3.33,22.31,84.91
Robby,blu,29.0,3.84,18.82,69.73
Robby,blu,24.0,2.56,7.39,99.33
Robby,rosso,24.0,3.3,12.9,76.72
Robby,viola,27.0,2.85,15.12,100.37
Robby,blu,27.0,3.47,13.48,88.21
Robby,viola,29.0,3.04,15.33,70.71
Robby,viola,29.0,3.22,17.85,79.5
Robby,viola,21.0,3.65,25.1,91.92
Robby,blu,28.0,3.16,13.44,77.7
Robby,blu,24.0,2.71,15.63,87.58
Robby,blu,24.0,3.29,14.41,104.24
Robby,viola,25.0,3.93,18.2,79.19
Robby,rosso,24.0,3.24,14.07,91.24
Robby,viola,26.0,3.21,17.87,100.96
Robby,viola,28.0,3.61,10.56,94.6
Robby,viola,29.0,3.18,13.9,68.02
Robby,blu,20.0,3.31,8.06,72.12
Robby,rosso,22.0,3.04,17.95,68.25
Robby,rosso,26.0,3.89,16.24,74.78
Robby,rosso,24.0,3.17,15.47,83.73
Robby,viola,26.0,3.49,14.33,57.59
Robby,viola,21.0,2.97,18.32,80.0
Robby,rosso,29.0,3.5,14.91,77.03
Robby,rosso,23.0,3.68,25.31,66.25
Robby,rosso,29.0,3.69,21.54,99.67
Robby,viola,26.0,3.1,19.02,72.94
Robby,rosso,23.0,3.37,23.93,91.79
Robby,rosso,26.0,3.51,19.6,88.21
Robby,rosso,23.0,3.38,16.49,100.8
Robby,rosso,22.0,4.21,12.15,85.53
Robby,rosso,25.0,3.65,20.12,79.27
Robby,blu,23.0,3.96,18.47,67.3
Robby,rosso,24.0,3.95,18.46,81.15
Robby,rosso,20.0,4.06,27.04,74.15
Robby,viola,28.0,3.49,14.92,91.11
Robby,blu,24.0,3.94,19.52,90.06
Robby,viola,23.0,3.2,19.88,85.06
Robby,rosso,25.0,3.51,16.69,99.06
Robby,viola,21.0,3.45,19.29,72.82
Robby,blu,27.0,2.8,20.99,93.57
Robby,,29.0,3.4,12.02,82.47
Robby,viola,24.0,3.48,18.46,91.88
Robby,viola,27.0,3.58,16.69,88.79
Robby,viola,22.0,3.95,16.19,102.29
Robby,blu,24.0,3.64,13.01,80.34
Robby,blu,21.0,4.45,21.71,88.26
Robby,viola,23.0,3.94,14.96,63.24
Robby,blu,25.0,3.09,15.9,84.37
Robby,viola,28.0,3.14,13.07,92.57
Robby,viola,20.0,3.98,19.63,91.89
Robby,viola,28.0,4.03,11.13,95.3
Robby,blu,22.0,3.34,15.89,101.08
Robby,viola,23.0,3.38,16.44,93.66
Robby,blu,26.0,3.8,10.76,97.26
Robby,blu,21.0,3.34,14.56,65.79
Robby,viola,26.0,3.15,27.68,88.72
Robby,blu,24.0,2.6,14.33,72.42
Robby,blu,21.0,2.93,27.18,107.3
Robby,blu,27.0,3.33,20.84,78.05
Robby,rosso,21.0,2.93,22.0,100.97
Robby,viola,25.0,3.42,20.51,84.9
Robby,rosso,28.0,3.95,21.7,72.85
Robby,viola,28.0,4.12,13.82,80.88
Robby,viola,26.0,3.6,19.75,97.09
Robby,viola,20.0,3.03,19.37,94.14
Robby,rosso,28.0,2.82,17.18,78.47
Robby,viola,25.0,3.88,17.9,90.34
Robby,viola,29.0,3.48,18.29,72.22
Robby,rosso,26.0,3.31,17.01,74.21
Robby,rosso,22.0,4.28,18.93,82.98
Robby,rosso,22.0,3.31,17.63,95.93
Robby,blu,27.0,3.52,17.04,83.18
Robby,viola,21.0,3.4,23.69,104.46
Robby,rosso,26.0,4.1,8.06,83.39
Robby,blu,21.0,3.9,15.91,96.4
Robby,blu,27.0,3.12,12.21,86.15
Robby,blu,21.0,3.54,16.14,85.59
Robby,rosso,25.0,3.83,15.95,84.13
Robby,rosso,23.0,3.41,19.25,75.27
Robby,viola,26.0,2.93,23.69,98.85
Robby,rosso,21.0,3.09,14.92,64.63
Robby,blu,28.0,2.36,22.74,75.96
Robby,rosso,21.0,2.99,14.11,106.8
Robby,blu,26.0,3.13,13.45,91.16
Robby,rosso,20.0,3.07,22.68,103.39
Robby,blu,21.0,3.99,20.24,100.42
Robby,viola,25.0,3.04,16.14,74.9
Robby,viola,24.0,3.64,15.1,83.17
Robby,rosso,24.0,3.33,14.85,75.96
Robby,rosso,28.0,4.09,23.31,84.74
Robby,blu,27.0,3.26,18.78,77.06
Robby,blu,23.0,4.15,20.08,75.86
Robby,rosso,29.0,4.2,22.85,78.24
Robby,viola,21.0,3.99,17.35,81.42
Robby,blu,21.0,4.03,23.02,96.34
Robby,viola,21.0,4.22,20.84,64.92
Robby,blu,21.0,3.18,18.18,84.35
Robby,viola,28.0,4.03,23.35,63.46
Robby,viola,22.0,3.93,25.09,79.97
Robby,viola,22.0,2.7,14.94,68.77
Robby,blu,28.0,3.66,18.38,84.16
Robby,viola,28.0,3.49,12.97,78.67
Robby,viola,27.0,4.26,23.12,84.55
Robby,rosso,24.0,3.32,17.77,102.5
Robby,rosso,27.0,4.15,14.07,76.4
Robby,viola,26.0,3.58,16.32,84.38
Robby,blu,26.0,3.29,17.33,95.45
Robby,viola,29.0,3.39,18.56,94.3
Robby,viola,21.0,2.71,16.29,74.9
Robby,blu,26.0,4.01,16.33,84.31
Robby,blu,20.0,3.66,18.76,72.69
Robby,rosso,25.0,3.52,14.74,74.64
Robby,viola,27.0,2.76,15.09,70.63
Robby,blu,22.0,3.26,17.51,67.66
Robby,blu,25.0,3.87,21.47,72.66
Robby,viola,23.0,3.57,18.34,77.8
Robby,rosso,29.0,3.55,25.48,73.55
Robby,rosso,21.0,3.59,16.31,96.0
Robby,blu,23.0,3.25,15.02,60.59
Robby,blu,20.0,3.07,20.11,86.45
Robby,blu,22.0,3.53,18.24,95.11
Robby,rosso,27.0,3.57,18.73,96.45
Robby,blu,28.0,4.11,19.95,92.52
Robby,viola,24.0,2.73,23.41,76.72
Robby,rosso,20.0,2.8,19.89,89.39
Robby,blu,26.0,3.95,27.27,73.86
Robby,rosso,25.0,3.09,19.31,90.41
Robby,viola,24.0,4.6,14.81,87.08
Robby,rosso,27.0,3.51,17.92,61.63
Robby,blu,21.0,3.99,8.42,93.99
Robby,viola,26.0,4.04,14.17,90.4
Robby,viola,23.0,3.05,20.62,71.06
Robby,rosso,23.0,3.46,17.78,92.31
Robby,viola,27.0,3.8,18.89,71.19
Robby,viola,28.0,3.11,15.08,87.99
Robby,rosso,28.0,3.76,19.57,59.88
Robby,rosso,29.0,3.4,13.84,81.07
Robby,viola,29.0,3.42,15.65,101.55
Robby,blu,28.0,3.89,18.05,72.95
Robby,blu,26.0,3.14,16.36,71.93
Robby,rosso,29.0,4.12,16.79,88.65
Robby,blu,24.0,3.81,25.93,104.63
Robby,blu,28.0,3.41,16.28,72.64
Robby,viola,29.0,4.84,13.23,92.95
Robby,rosso,25.0,3.83,20.28,77.0
Robby,rosso,20.0,4.14,12.99,70.82
Robby,viola,27.0,3.6,17.39,82.67
Robby,rosso,21.0,3.61,14.21,87.84
Robby,rosso,29.0,4.01,17.33,92.54
Robby,blu,21.0,3.27,17.56,92.26
Robby,blu,26.0,3.92,19.18,82.92
Robby,viola,26.0,4.32,16.03,66.71
Robby,blu,28.0,3.43,16.91,66.31
Robby,viola,24.0,2.98,6.07,86.15
Robby,blu,29.0,2.98,19.46,89.43
Robby,blu,27.0,4.1,10.45,79.89
Robby,viola,25.0,3.07,20.63,72.65
Robby,viola,21.0,3.17,13.25,85.23
Robby,rosso,27.0,3.29,21.32,86.13
Robby,rosso,28.0,3.51,19.92,78.99
Robby,rosso,24.0,4.34,16.01,88.08
Robby,blu,25.0,2.57,18.11,66.72
Robby,blu,20.0,3.58,12.09,93.36
Robby,viola,25.0,3.57,22.41,62.05
Robby,blu,20.0,3.22,20.42,66.67
Robby,rosso,27.0,3.21,16.45,105.69
Robby,rosso,27.0,3.27,16.4,44.7
Robby,viola,26.0,4.49,14.07,83.34
Robby,blu,22.0,3.34,18.46,83.43
Robby,rosso,20.0,4.22,13.59,80.82
Robby,rosso,22.0,3.7,21.93,81.37
Robby,viola,27.0,3.79,24.46,65.75
Robby,rosso,25.0,3.39,13.23,70.62
Robby,blu,25.0,3.15,16.63,78.63
Robby,viola,21.0,3.38,19.31,55.67
Robby,blu,24.0,3.65,19.15,86.32
Robby,viola,20.0,3.97,20.6,72.21
Robby,rosso,26.0,3.56,17.34,81.32
Robby,viola,29.0,4.47,13.17,101.61
Robby,rosso,20.0,4.09,8.48,75.57
Robby,rosso,21.0,3.89,16.84,97.95
Robby,blu,26.0,3.85,,62.62
Robby,rosso,22.0,3.14,15.29,62.68
Robby,viola,26.0,4.16,19.18,92.21
Robby,blu,26.0,2.92,18.29,78.87
Robby,viola,25.0,2.97,22.61,94.61
Robby,rosso,21.0,4.3,23.86,78.81
Robby,rosso,24.0,3.28,13.88,75.69
Robby,blu,29.0,3.42,9.69,93.38
Robby,rosso,28.0,3.34,21.47,95.19
Robby,blu,21.0,3.47,22.14,83.33
Robby,viola,29.0,3.52,28.06,69.84
Robby,rosso,28.0,3.94,29.4,74.31
Robby,rosso,23.0,3.27,14.44,84.05
Robby,viola,29.0,3.47,25.16,76.84
Robby,viola,27.0,3.15,19.06,86.53
Robby,rosso,26.0,4.21,18.47,98.46
Robby,blu,24.0,3.96,10.39,83.3
Robby,rosso,23.0,3.45,14.1,77.22
Robby,viola,27.0,3.11,13.46,105.5
Robby,rosso,23.0,3.54,23.47,81.75
Robby,blu,26.0,4.1,6.04,82.13
Robby,blu,24.0,4.68,15.55,88.23
Robby,viola,21.0,3.19,15.68,75.42
Robby,blu,23.0,2.75,26.29,72.48
Robby,viola,22.0,3.36,17.28,89.69
Robby,viola,28.0,4.06,20.15,92.9
Robby,viola,29.0,3.18,13.46,64.71
Robby,blu,25.0,4.07,14.34,80.16
Robby,blu,24.0,3.1,14.82,75.64
Robby,rosso,23.0,3.97,21.51,97.52
Robby,rosso,26.0,3.61,14.34,69.71
Robby,blu,27.0,4.34,14.56,83.91
Robby,viola,20.0,3.91,10.88,101.34
Robby,viola,24.0,3.03,11.02,94.4
Robby,rosso,27.0,3.62,16.33,85.43
Robby,blu,28.0,2.55,19.32,87.62
Robby,rosso,23.0,4.33,24.06,95.08
Robby,blu,26.0,3.72,20.98,86.14
Robby,viola,29.0,3.01,22.88,87.78
Robby,blu,20.0,2.98,24.26,78.17
Robby,viola,21.0,3.78,14.67,76.98
Robby,blu,23.0,3.67,10.07,93.86
Robby,blu,27.0,3.84,17.32,89.5
Robby,viola,29.0,4.62,17.71,80.05
Robby,viola,26.0,4.39,21.93,67.13
Robby,blu,28.0,3.97,16.92,87.12
Robby,rosso,26.0,3.0,19.9,99.11
Robby,blu,24.0,2.76,21.17,78.36
Robby,viola,25.0,3.18,21.34,92.35
Robby,rosso,26.0,3.31,24.67,99.82
Robby,viola,27.0,3.67,20.86,80.36
Robby,viola,20.0,3.03,12.18,106.23
Robby,rosso,26.0,2.95,8.35,105.88
Robby,viola,27.0,3.78,18.76,87.59
Robby,rosso,27.0,4.1,11.19,84.44
Robby,viola,28.0,3.8,19.14,87.45
Robby,blu,28.0,2.37,23.97,89.24
Robby,viola,27.0,3.54,19.11,70.38
Robby,viola,26.0,3.43,12.48,101.57
Robby,rosso,23.0,3.75,14.18,77.51
Robby,viola,26.0,2.67,21.27,71.88
Robby,rosso,27.0,3.74,17.05,74.65
Robby,viola,28.0,3.41,16.37,87.26
Robby,viola,20.0,4.18,15.46,73.45
Robby,blu,29.0,3.53,24.72,87.94
Robby,viola,29.0,4.44,13.56,77.96
Robby,viola,29.0,3.91,10.67,108.77
Robby,viola,20.0,3.14,13.21,95.87
Robby,rosso,21.0,3.11,21.69,100.69
Robby,viola,28.0,3.63,18.51,76.91
Robby,blu,25.0,3.08,15.17,93.39
Robby,blu,26.0,3.83,16.2,100.85
Robby,blu,25.0,4.2,23.26,87.58
Robby,viola,27.0,4.08,20.19,94.37
Robby,rosso,20.0,3.2,20.34,82.58
Robby,blu,22.0,2.99,16.41,79.72
Robby,rosso,24.0,4.5,15.66,85.62
Robby,rosso,22.0,3.42,17.51,85.3
Robby,rosso,20.0,3.59,19.49,98.52
Robby,blu,26.0,4.08,17.09,91.79
Robby,viola,21.0,3.09,17.99,76.57
Robby,blu,24.0,3.02,9.35,88.76
Robby,rosso,25.0,3.35,27.37,78.37
Robby,viola,22.0,3.49,20.03,74.55
Robby,blu,29.0,2.71,17.69,90.2
Robby,rosso,21.0,4.03,14.41,92.43
Robby,,22.0,3.19,15.55,91.27
Robby,viola,23.0,2.96,21.78,98.01
Robby,viola,25.0,2.79,25.88,60.44
Robby,blu,28.0,3.64,14.94,77.28
Robby,rosso,25.0,3.78,20.36,82.11
Robby,viola,20.0,4.1,17.6,86.58
Robby,rosso,20.0,3.99,23.47,88.95
Robby,viola,28.0,3.15,15.92,68.18
Robby,blu,22.0,2.99,19.49,111.51
Robby,blu,28.0,3.1,17.46,89.23
Robby,rosso,26.0,3.99,11.07,89.95
Robby,blu,25.0,3.63,9.62,91.29
Simmy,viola,25.0,4.41,31.33,66.36
Simmy,viola,28.0,3.63,39.65,68.55
Simmy,rosso,26.0,5.38,47.4,69.12
Simmy,blu,29.0,4.28,29.46,72.27
Simmy,rosso,22.0,4.41,40.8,70.34
Simmy,rosso,22.0,5.04,30.15,66.92
Simmy,rosso,23.0,3.71,25.29,73.73
Simmy,viola,22.0,4.39,31.97,76.05
Simmy,viola,22.0,4.85,29.55,63.94
Simmy,rosso,22.0,4.1,33.09,65.62
Simmy,viola,29.0,4.18,33.13,68.81
Simmy,blu,24.0,4.25,34.78,64.77
Simmy,viola,26.0,4.19,31.81,71.79
Simmy,blu,26.0,4.11,34.11,74.23
Simmy,blu,26.0,4.73,33.89,72.89
Simmy,viola,22.0,4.65,38.09,64.97
Simmy,rosso,25.0,5.24,35.48,72.4
Simmy,viola,22.0,3.52,30.75,70.8
Simmy,blu,22.0,4.06,25.76,74.73
Simmy,viola,29.0,4.55,28.86,80.25
Simmy,blu,22.0,4.65,35.33,70.93
Simmy,rosso,26.0,5.13,34.43,63.26
Simmy,blu,26.0,3.96,35.18,69.03
Simmy,rosso,28.0,4.64,38.06,66.94
Simmy,rosso,27.0,4.54,30.63,66.96
Simmy,blu,24.0,3.94,20.91,67.54
Simmy,blu,23.0,4.65,29.81,71.58
Simmy,rosso,20.0,4.3,30.32,70.52
Simmy,rosso,23.0,3.76,20.94,71.49
Simmy,rosso,28.0,5.56,31.82,70.37
Simmy,viola,28.0,4.52,29.38,68.7
Simmy,blu,28.0,3.91,42.76,73.93
Simmy,viola,23.0,5.07,29.07,74.77
Simmy,blu,25.0,5.38,34.38,74.02
Simmy,blu,28.0,4.62,38.33,72.45
Simmy,viola,28.0,4.71,32.94,66.37
Simmy,viola,25.0,5.15,27.76,68.15
Simmy,viola,20.0,4.77,37.62,72.08
Simmy,rosso,22.0,3.82,32.23,67.21
Simmy,rosso,23.0,4.13,48.43,63.13
Simmy,viola,21.0,4.31,32.65,69.18
Simmy,rosso,26.0,4.29,29.84,72.59
Simmy,viola,21.0,5.37,34.12,75.77
Simmy,viola,24.0,4.3,26.5,73.23
Simmy,rosso,26.0,4.73,42.61,75.78
Simmy,rosso,29.0,4.47,39.64,69.38
Simmy,viola,21.0,5.24,46.61,75.69
Simmy,rosso,23.0,4.2,42.29,68.26
Simmy,blu,26.0,4.95,37.02,72.06
Simmy,blu,27.0,4.28,30.02,72.37
Simmy,viola,23.0,4.82,41.01,70.89
Simmy,rosso,24.0,4.13,30.41,71.24
Simmy,viola,22.0,4.63,34.64,62.9
Simmy,viola,24.0,3.24,36.2,73.74
Simmy,blu,24.0,5.2,38.02,73.68
Simmy,rosso,24.0,4.25,37.45,69.72
Simmy,viola,20.0,4.31,33.04,69.32
Simmy,rosso,27.0,4.82,17.96,74.5
Simmy,viola,29.0,4.72,30.67,70.03
Simmy,blu,29.0,4.76,26.0,63.85
Simmy,viola,21.0,4.43,46.35,70.82
Simmy,blu,21.0,4.18,30.21,68.39
Simmy,viola,21.0,4.29,24.78,70.25
Simmy,viola,29.0,4.13,25.73,73.04
Simmy,viola,26.0,5.14,23.77,64.97
Simmy,rosso,24.0,4.28,31.7,74.26
Simmy,viola,25.0,4.58,34.25,67.87
Simmy,blu,21.0,4.23,31.06,67.92
Simmy,blu,27.0,3.82,19.32,71.92
Simmy,rosso,23.0,5.01,44.31,76.19
Simmy,rosso,20.0,4.6,28.25,75.61
Simmy,blu,22.0,4.28,27.33,67.18
Simmy,viola,29.0,4.59,33.52,71.89
Simmy,rosso,21.0,4.88,35.38,73.42
Simmy,rosso,23.0,4.16,32.73,73.02
Simmy,viola,22.0,3.99,29.95,68.28
Simmy,viola,25.0,4.56,36.58,68.53
Simmy,blu,22.0,4.45,30.87,73.88
Simmy,viola,22.0,4.75,36.93,70.88
Simmy,rosso,27.0,4.2,40.2,75.07
Simmy,rosso,20.0,4.89,25.58,71.26
Simmy,rosso,24.0,4.46,33.63,67.33
Simmy,rosso,21.0,5.44,31.83,74.5
Simmy,viola,22.0,4.73,38.61,70.11
Simmy,rosso,22.0,4.27,28.27,68.71
Simmy,blu,26.0,4.97,32.5,65.74
Simmy,rosso,24.0,4.75,37.0,67.32
Simmy,viola,23.0,3.97,39.09,66.74
Simmy,viola,27.0,3.86,26.24,74.28
Simmy,blu,23.0,4.51,29.41,68.79
Simmy,viola,21.0,3.69,35.61,67.07
Simmy,viola,28.0,4.05,30.31,73.93
Simmy,viola,23.0,4.62,31.91,73.44
Simmy,viola,20.0,4.59,30.21,70.31
Simmy,blu,25.0,3.59,35.67,75.62
Simmy,viola,21.0,4.45,28.98,67.16
Simmy,viola,20.0,4.11,30.79,70.1
Simmy,blu,20.0,4.66,29.64,66.88
Simmy,rosso,28.0,4.52,27.54,71.36
Simmy,blu,25.0,4.27,28.43,75.04
Simmy,rosso,21.0,3.85,38.15,74.25
Simmy,viola,23.0,4.56,42.53,70.68
Simmy,viola,24.0,4.79,32.63,69.42
Simmy,blu,24.0,3.97,38.07,65.66
Simmy,rosso,28.0,4.41,31.17,77.43
Simmy,blu,28.0,4.22,39.8,69.36
Simmy,rosso,25.0,4.62,29.92,68.8
Simmy,rosso,28.0,4.65,42.75,66.2
Simmy,viola,23.0,4.6,38.51,66.04
Simmy,blu,23.0,4.45,36.42,75.96
Simmy,viola,23.0,3.32,34.89,71.15
Simmy,rosso,27.0,4.86,28.63,67.89
Simmy,rosso,21.0,4.73,22.27,70.08
Simmy,blu,28.0,4.86,25.9,72.34
Simmy,blu,29.0,5.26,33.65,65.21
Simmy,rosso,27.0,4.59,40.07,69.56
Simmy,viola,20.0,4.49,18.61,68.86
Simmy,rosso,25.0,4.25,24.48,66.24
Simmy,viola,25.0,4.38,38.67,72.73
Simmy,rosso,20.0,3.75,34.55,70.8
Simmy,rosso,22.0,4.26,28.99,66.23
Simmy,blu,28.0,4.95,30.1,69.53
Simmy,rosso,20.0,4.52,38.24,66.84
Simmy,rosso,23.0,3.42,48.87,70.33
Simmy,blu,28.0,4.03,39.79,69.01
Simmy,blu,23.0,4.71,34.38,66.08
Simmy,viola,23.0,4.02,34.42,66.88
Simmy,viola,21.0,4.47,38.41,69.57
Simmy,viola,25.0,4.23,29.71,71.61
Simmy,blu,25.0,3.29,28.59,66.08
Simmy,blu,23.0,4.03,23.57,66.58
Simmy,rosso,29.0,4.45,25.9,69.83
Simmy,blu,27.0,4.73,34.76,68.0
Simmy,blu,22.0,4.56,25.15,69.8
Simmy,rosso,21.0,3.71,28.07,64.53
Simmy,rosso,27.0,4.1,27.18,76.05
Simmy,viola,23.0,4.52,32.52,73.83
Simmy,viola,24.0,4.93,36.92,64.61
Simmy,viola,29.0,4.59,37.1,64.75
Simmy,viola,29.0,4.27,34.17,68.9
Simmy,blu,20.0,4.29,35.85,72.63
Simmy,rosso,29.0,4.61,35.99,75.61
Simmy,rosso,20.0,3.62,38.21,74.49
Simmy,rosso,28.0,4.23,26.88,67.7
Simmy,blu,26.0,5.02,35.59,73.62
Simmy,rosso,26.0,3.7,21.68,74.5
Simmy,viola,25.0,5.6,31.39,71.47
Simmy,viola,29.0,5.04,38.96,78.92
Simmy,viola,21.0,3.36,32.9,67.55
Simmy,blu,29.0,5.27,27.12,72.19
Simmy,rosso,28.0,5.05,34.33,68.11
Simmy,rosso,24.0,4.97,27.39,75.65
Simmy,rosso,26.0,5.12,29.27,68.21
Simmy,viola,27.0,3.87,30.31,68.17
Simmy,rosso,26.0,4.01,28.91,66.32
Simmy,,28.0,4.65,38.47,68.51
Simmy,rosso,28.0,4.6,39.34,71.2
Simmy,viola,24.0,3.57,33.45,64.57
Simmy,rosso,21.0,4.0,41.72,74.98
Simmy,rosso,29.0,4.62,37.18,66.12
Simmy,viola,26.0,3.51,28.54,72.85
Simmy,rosso,27.0,4.91,37.49,76.47
Simmy,viola,26.0,4.34,21.22,71.0
Simmy,blu,22.0,5.19,28.46,70.24
Simmy,rosso,24.0,3.65,45.66,73.77
Simmy,viola,21.0,5.36,42.64,69.7
Simmy,blu,22.0,3.9,37.1,73.94
Simmy,blu,23.0,4.34,34.6,70.43
Simmy,viola,21.0,4.71,31.85,77.51
Simmy,rosso,28.0,4.07,29.33,68.68
Simmy,blu,20.0,4.69,31.4,74.27
Simmy,rosso,27.0,3.97,29.36,69.02
Simmy,rosso,25.0,4.45,34.49,75.68
Simmy,blu,24.0,5.33,28.72,70.69
Simmy,rosso,28.0,3.85,33.61,69.78
Simmy,rosso,28.0,5.08,28.75,72.52
Simmy,rosso,29.0,4.38,29.07,71.61
Simmy,rosso,29.0,4.94,33.14,73.08
Simmy,blu,24.0,4.3,36.29,68.08
Simmy,viola,27.0,4.32,27.82,72.29
Simmy,blu,22.0,4.94,25.6,66.63
Simmy,rosso,25.0,3.32,31.42,77.02
Simmy,viola,25.0,4.33,43.97,71.36
Simmy,blu,23.0,4.97,35.84,69.81
Simmy,blu,20.0,4.03,36.15,68.27
Simmy,blu,29.0,3.91,35.56,69.01
Simmy,viola,29.0,5.12,28.33,71.84
Simmy,viola,20.0,3.27,32.62,66.29
Simmy,rosso,22.0,4.2,37.2,74.5
